Référence;Titre;Durée (min);Année;Restriction;Nombre de votes;Score;Description
F-15B64-1998;Le Premier Jour;75;1998;Tous Publics;696;6.7;On December 31st of 1999, the destiny brings a fugitive prisoner and a depressed middle class teacher together, as the new millennium approaches bringing hope to everyone.
F-15B65-2011;The Island;95;2011;;742;5.0;In this romantic drama featured at the Cannes Film Festival, a couple, Sophia and Daniel, find their passionate romance taking a shocking turn when they visit the Bulgarian seaside. As they...
F-15B66-2009;Phoneshop;30;2009;;2219;7.8;The antics of the dysfunctional staff of Sutton branch of a mobile phone retailer.
F-15B67-2001;Sous La Peau De La Ville;92;2001;;1385;7.3;A valuable visual commentary on modern society, Under The Skin Of The City follows one Iranian family in their eternal struggle to stay afloat financially and emotionally. Touba works ...
F-15B68-2014;Sei Lá;110;2014;;476;4.4;Madalena is 30 years old and is abandoned by the love of her life a mysterious Spaniard named Ricardo. With the support of her best friends she tries to forget him, and find true love.
F-15B69-1972;On Mappelle Providence;90;1972;;198;5.8;An eccentric bounty hunter named Providence captures and sets free a criminal in order to collect the same bounty over and over again in different states, until they discover that a local sheriff is up to something crooked.
F-15B70-2011;Pearl Jam Twenty;109;2011;;7540;8.3;A documentary on the band Pearl Jam that marks their 20th anniversary in the year 2011.
F-15B71-2008;Wall·E;98;2008;Tous Publics;980935;8.4;In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.
F-15B72-1948;N.U.;11;1948;;372;6.7;Documentary about street cleaning in Rome.
F-15B73-1990;Ripoux Contre Ripoux;107;1990;;1879;6.1;A team of corrupt policemen returns when they face with really wicked colleagues.
F-15B74-2013;Crafting A Nation;104;2013;;245;6.4;Crafting A Nation is a feature length documentary and new media project about how the American craft brewers are rebuilding the economy one craft beer at a time.
F-15B75-1990;Deadly Manor;86;1990;;515;4.6;A group of teenagers take refuge in an old, deserted mansion. Soon the members of the group start turning up dead, and the teenagers realize that theyre not alone in the mansion.
F-15B76-1983;Le Retour Du Jedi;131;1983;Tous Publics;933532;8.3;After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperors trap.
F-15B77-2010;M.I.A: Born Free;10;2010;;273;7.9;Music video by M.I.A. performing Born Free.
F-15B78-1957;Paying Guest;157;1957;;217;7.1;An incompetent lawyer gets evicted, dons the guise of an old man to gain accommodation, falls for the owners daughter, then faces numerous life-changing challenges.
F-15B79-2020;Éléphants;86;2020;G;1710;7.2;African elephant Shani and her spirited son Jomo set out on an epic journey with their herd, traveling hundreds of miles across the vast Kalahari Desert from the Okavango delta to the Zambezi River.
F-15B80-1979;De Lenfer À La Victoire;103;1979;;369;5.3;In 1939, at a Paris café, six friends of various nationalities vow to meet again at the same spot after the end of WW2.
F-15B81-1997;Sus Ojos Se Cerraron Y El Mundo Sigue Andando;93;1997;;292;6.8;A womans voice says she was wife to Renzo Franchi and Carlos Gardel (1890-1935), Argentinas great tango singer. People say shes crazy. Her story unfolds. Buenos Aires, 1933: Juana Romero...
F-15B82-2018;Chekka Chivantha Vaanam;146;2018;Tous Publics;5251;7.3;A bloody power struggle erupts between three brothers who are vying to take over the family business following the death of their father.
F-15B83-2006;Français Pour Débutant;98;2006;;972;6.1;Échange tells the story of HENRIK, who takes part in a student exchange program with France. The only reason for this journey is to conquer the heart of his dream girl. Wild Partys, ...
F-15B84-2014;Somewhere Else Tomorrow;107;2014;;306;7.5;A naive dreamer attempts to circumnavigate the world on his motorcycle, surviving only on the money he makes along the way.
F-15B85-1980;Lempire Contre-Attaque;124;1980;Tous Publics;1138942;8.7;After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.
F-15B86-2015;Faraar;148;2015;;246;5.4;A man travelling to the United States meets a mysterious woman and gets wrapped up in an investigation when authorities mistake him for a notorious criminal.
F-15B87-2015;Welcome To Leith;85;2015;;3846;6.9;When a noted white supremacist moves into their town, the residents of Leith, North Dakota do what they can to prevent him from taking control of the municipality.
F-15B88-1928;Cest Une Gamine Charmante;78;1928;;2335;7.4;An awkward teenager hopelessly in love with her elder sisters boyfriend tries to make him notice her.
F-15B89-1990;Les Affranchis;146;1990;16;999250;8.7;The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.
F-15B90-1968;Princesse Dun Jour;88;1968;;169;6.0;When a handsome prince spots a beautiful Greek tour-guide, he decides to pose as an elegant tourist to mingle with her group. Will the wandering Apollo return to his duties once he takes a sip of powerful Eros intoxicating elixir?
